Suburb,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Growth(PA)
CAPE PATERSON,337000,332000,350000,358000,407500,442000,540000,635500,782500,880000,804500,807500,9.1
CAPE SCHANCK,620000,557500,660000,667500,972500,845000,940000,1095500,1350000,2250000,1524000,1657500,9.4
CAPEL SOUND,350000,366000,390000,442500,542500,550000,520000,582500,775000,815000,740000,682000,7.8
CARDIGAN,177500,216500,225000,225000,242500,622500,863500,727500,1090000,1150000,1045000,NA,19.4
CARLTON,1002500,1020000,830000,1050000,1470000,1625000,1308000,1452500,1492500,1512500,1485000,1006000,4.0
CARLTON NORTH,890500,1095000,1177500,1360000,1628000,1445000,1555000,1500000,1712000,1660000,1480000,1470000,5.2
CARNEGIE,865000,1007500,1300000,1348500,1510000,1445000,1313500,1420000,1776000,1685000,1675000,1835000,6.8
CAROLINE SPRINGS,435000,460000,480000,530000,611000,620000,620000,650000,720000,750000,730500,730000,5.3
CARRUM,510000,536000,611000,750000,835500,860000,770000,830500,967000,965000,1030000,NA,7.3
CARRUM DOWNS,330000,346000,370000,430000,525000,575000,537000,575000,665000,705000,695000,717500,7.7
CASTERTON,97500,99000,100000,126500,142000,132500,150000,161500,200000,300000,290000,195000,11.5
CASTLEMAINE,372500,369500,380000,410000,435000,499000,520000,556500,680500,725000,725000,690000,6.9
CAULFIELD,1172500,1322000,1650000,1715000,1885000,1701000,1762500,1818500,2060000,2079000,1786000,1292000,4.3
CAULFIELD NORTH,1415000,1480000,1875000,2181000,2285000,1960000,2112000,2360000,2697500,2650000,2620000,2600000,6.4
CAULFIELD SOUTH,1050000,1200000,1375000,1517500,1690000,1600000,1494500,1750000,1950000,1845000,1945000,1685000,6.4
CHADSTONE,719000,823500,925000,1017500,1131000,1050000,958000,1095000,1255000,1172500,1290000,1280000,6.0
CHARLEMONT,-,-,-,-,157000,455000,465000,530000,628000,650000,610000,609000,NA
CHARLTON,120000,131000,179500,160000,136000,150000,147000,149500,195000,300000,320000,275000,10.3
CHELSEA,577500,580000,730000,890000,914000,905000,856500,980000,1167500,1142500,1200000,1465000,7.6
CHELSEA HEIGHTS,465000,513000,598000,641000,750000,778000,750000,805000,977500,935000,906500,890000,6.9
CHELTENHAM,690000,774000,867000,942500,1170000,1105000,1035000,1130000,1306000,1350000,1342000,1320000,6.9
CHELTENHAM EAST,600000,670000,770000,867500,982500,940000,940000,1010500,1190000,1157500,1150000,1205000,6.7
CHELTENHAM NORTH,583500,675000,745000,895000,1018000,925000,913000,921500,1015000,1050000,1050000,1090000,6.1
