Suburb,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Growth(PA)
OFFICER SOUTH,-,-,-,-,283000,569500,714000,770000,703000,850000,865000,815000,NA
OLINDA,496000,520000,553500,620000,705000,760000,746500,757500,1125000,905000,935000,780000,6.5
OMEO,210000,190000,212500,150000,183000,183500,250000,238000,339000,385000,339000,NA,4.9
ORBOST,156000,150000,145000,162500,159000,165000,185500,220000,240000,344000,340000,350000,8.1
ORMOND,997500,1187500,1300000,1550000,1604500,1600000,1475000,1590000,1900000,1847500,1795000,1832500,6.1
OSBORNE,530000,540500,580000,640000,735000,757000,777500,850500,1112000,1127500,1030000,830000,6.9
OUYEN,75000,77500,105500,130000,130000,93000,99000,121000,155500,170000,184500,212500,9.4
PAKENHAM,335000,350000,367000,400000,470000,520000,485000,525000,600000,652000,640000,650000,6.7
PARADISE BEACH,163500,178000,188500,200000,180000,199000,200000,248000,321500,415000,372500,270000,8.6
PARK ORCHARDS,952500,1103000,1225000,1335000,1450000,1480000,1510000,1530000,1920000,1965000,1740000,1885000,6.2
PARKDALE,760000,860000,965000,1100000,1300000,1245000,1157500,1200500,1540500,1592500,1352000,1471000,5.9
PARKVILLE,1200000,1525000,1360500,2130000,2287500,2430000,1480000,1950000,2301500,1910000,2477000,NA,7.5
PASCOE VALE,580000,655000,720000,805000,891000,901000,855000,947500,1050000,1110000,1025000,1040000,5.9
PASCOE VALE SOUTH,650500,701000,745000,840000,975000,955000,950000,1006000,1299500,1157500,1140000,1050000,5.8
PATTERSON GARDENS,615000,672000,737500,813500,880000,890000,961000,960000,1160000,1300000,1265000,NA,7.5
PATTERSON LAKES,647500,734000,785000,807500,1021500,1022500,923000,1082500,1300000,1470500,1361000,1578500,7.7
PAYNESVILLE,283000,305000,305000,309000,336500,351500,346000,397000,465000,565000,515000,460000,6.2
PEARCEDALE,385000,445000,470000,534000,607000,660000,660000,660000,790000,820000,850000,1025000,8.2
PENSHURST,144000,132500,191000,152000,125000,165000,165000,175000,194000,310000,286500,265000,7.1
PETERBOROUGH,287500,307500,296500,340000,315000,450000,419000,550000,625000,701000,690000,NA,9.1
PIONEER BAY,200000,220000,240000,216000,275000,308000,310000,355000,354000,491500,554000,655000,10.7
PLENTY,773000,750000,915500,935000,1145000,1350000,1301000,1202500,1605000,1543000,1760000,NA,8.6
POINT COOK,450000,445000,465000,505000,590000,630000,635000,664000,739000,780000,770500,789500,5.5
POINT LONSDALE,700000,707500,655000,641000,780000,840000,827500,880000,1300000,1505000,1351500,1250000,6.8
POREPUNKAH,347000,285000,323000,330000,447000,464500,530000,615000,757500,1035000,940000,700000,10.5
PORT ALBERT,262500,190000,197500,218500,270000,240000,250000,315000,425000,485000,562500,600000,7.9
PORT FAIRY,400000,425000,447500,473500,500000,651000,620000,670000,950000,1140000,950000,NA,9.0
PORT MELBOURNE,995000,917500,1252500,1380000,1485000,1488000,1400000,1600000,1802500,1646000,1745000,1400000,5.8
PORTARLINGTON,390000,414500,409000,460000,515000,640000,625000,690000,829500,985000,925000,1080000,9.0
PORTLAND,235000,210000,220000,220000,230000,234500,266000,295000,370000,450000,437500,390000,6.4
PORTLAND NORTH,300000,248000,330000,340000,360000,367500,276000,507000,470000,667500,750000,730000,9.6
PORTSEA,1195000,1305000,1800000,1701000,1925000,2180000,1950000,2530000,3765000,3825000,3102500,2115000,10.0
PRAHRAN,990000,1175000,1350000,1430000,1525000,1578000,1520000,1643500,1831000,1840000,1750000,1500000,5.9
PRESTON,632500,690000,791000,882000,996000,980000,940000,1026000,1251000,1160000,1150000,1252500,6.2
PRINCES HILL,1216500,1210000,1280000,1555000,1767500,1650000,2035000,1600000,2015000,1892500,1620000,NA,2.9
PYRAMID HILL,112500,117000,112500,112500,112500,100000,120000,117500,128000,230000,202500,275000,6.1
QUAMBATOOK,134000,79000,66500,105000,135000,93500,90500,110000,150000,157000,125000,40000,-0.7
QUARRY HILL,385000,355000,377500,349000,362000,407500,395000,430000,540500,613500,596000,515000,4.5
QUEENSCLIFF,630000,695000,700000,795000,763000,950000,950000,969000,1372000,1725000,1687500,1275000,10.4
RAINBOW,62000,77000,68000,59500,82500,99000,75000,82000,112000,137000,175000,235000,10.9
RAYMOND ISLAND,297500,280000,285000,330000,289500,360000,300000,416500,450000,535000,540000,505000,6.1
RED CLIFFS,163000,151500,175000,165000,223500,211500,217500,270000,311000,325000,335000,400000,7.5
RED HILL,515000,675000,645000,677500,815000,930000,860000,900000,1550000,1960000,1507500,NA,11.3
REDAN,250000,245000,246500,255000,287500,330000,357000,900000,455000,515000,485000,425500,6.9
RESEARCH,605500,685000,686000,825500,950000,915000,937500,1178000,1201000,1520000,1030000,1032500,5.5
RESERVOIR,510000,541000,615000,707500,812500,790000,754000,795000,945000,940000,870000,886500,5.5
RHYLL,393000,482000,402000,460000,527500,657500,565000,579000,757500,911000,752500,899000,6.7
RICHMOND,900000,961000,1150000,1265000,1302500,1311000,1260000,1365000,1490000,1400000,1377500,1347500,4.3
RIDDELLS CREEK,450000,417500,456500,500000,580000,675000,710000,680000,870000,872500,865000,794000,6.8
RINGWOOD,552000,660000,777500,837500,910500,896500,801000,900000,1018000,1038000,999500,1135000,6.1
RINGWOOD EAST,547000,612000,750000,806000,901000,881000,809000,861000,1050000,975000,1000000,1105000,6.2
RINGWOOD NORTH,630500,662000,783500,844000,960500,920000,870000,957500,1183000,1200000,1217500,1302500,6.8
RIPPLESIDE,575000,530000,640000,739000,725000,750000,825000,862000,1100000,1205000,1050000,NA,6.2
RIPPONLEA,985000,1000000,1360000,1700000,1787500,1564000,1350000,2001000,1892500,1560000,1457500,NA,4.0
ROBINVALE,152500,160000,184500,170000,197000,220000,231500,235000,340000,315000,355000,315000,8.8
ROCHESTER,189500,215000,235000,239000,242500,236000,255000,237000,350000,440000,262500,397500,3.3
ROCKBANK,309000,280000,300000,347000,455000,500000,497000,465000,565000,620000,624500,583500,7.3
ROMSEY,387500,396000,420000,428000,470000,550000,580500,630000,780000,839000,755000,724000,6.9
ROSANNA,717500,781500,905000,980000,1175000,1100000,1032500,1121500,1382500,1216000,1298000,1041000,6.1
ROSEBUD,367000,365000,389000,445000,536000,590000,550000,595000,780000,820500,747500,710000,7.4
ROSEBUD SOUTH,425000,500000,515000,545000,647500,711500,697000,675000,951000,1090000,1063500,962500,9.6
ROSEDALE,215000,215000,197000,230000,247000,280000,247000,250000,365000,420000,475000,537500,8.2
ROWVILLE,570000,617500,710000,778000,867000,838000,815500,838000,1000000,1080000,1090000,1120000,6.7
ROXBURGH PARK,365000,385000,400000,435000,515000,546000,543000,572500,615000,652000,632500,650000,5.7
RUSHWORTH,161000,158000,177000,200000,192500,198000,205000,226000,301000,352500,367000,453000,8.6
RUTHERGLEN,232000,195000,230000,255000,262000,270000,282500,350000,402500,486500,479000,475000,7.5
RYE,425500,460000,488000,550000,659000,705000,690000,793500,1100000,1195000,1098500,1097000,9.9
SAFETY BEACH,515000,516500,595000,665000,780000,825000,810000,897500,1109000,1241000,1220500,1040000,9.0
SAILORS GULLY,253000,262500,235000,225000,232000,290000,280000,300000,390000,505500,469000,440000,6.4
SALE,290000,300000,298000,295500,300000,309500,325000,345000,399000,487000,480000,470000,5.2
SAN REMO,410000,407000,420000,460000,497000,515000,554500,597500,850000,1020000,952500,940000,8.8
SANCTUARY LAKES,480000,485000,570000,502000,630000,625000,625000,652000,710000,750000,733500,748000,4.3
SANDHURST,545000,549000,617500,678500,730000,837500,812500,780000,950000,1009000,1075000,1067000,7.0
SANDRINGHAM,1210000,1305000,1490000,1760000,1862500,1850000,1665000,1850000,2420000,2400000,2100000,1920000,5.7
SANDY POINT,352500,380000,370000,359000,407500,410000,410000,517500,755000,820000,815000,510000,8.7
SASSAFRAS,632500,556000,562000,653500,775500,750000,805000,770000,860000,1020000,959000,NA,4.2
SCORESBY,509000,570000,661000,700000,878500,835000,766500,785000,951500,975500,955500,1005000,6.5
SEA LAKE,80000,75000,90000,75000,70000,110000,100000,106500,125000,173000,187500,160000,8.9
SEABROOK,422500,402500,456000,509000,635000,672500,626500,652500,730000,755000,741500,790000,5.8
SEAFORD,419500,450000,475000,580500,700000,696000,655000,700000,850000,880000,830000,837500,7.1
SEAHOLME,640000,670000,802500,870000,1157500,1015000,1020000,937500,1209500,1135000,1525000,NA,9.1
SEASPRAY,152000,164000,240000,175000,215000,210000,265000,260000,335000,390000,465000,378000,11.8
SEBASTOPOL,242000,235500,244500,247500,256000,289000,315000,341000,420000,480000,455000,430000,6.5
SEDDON,675000,730000,830000,934500,982500,1018500,960000,1100000,1244000,1055000,1100000,965000,5
SELBY,420000,420000,469500,527500,600000,637500,601500,720000,904500,771500,837500,870000,7.1
SEVILLE,400000,397500,450000,511500,611500,634500,630000,626000,775000,812500,870000,868000,8.1
SEVILLE EAST,339500,350000,395000,440000,482500,551500,580000,600000,720000,700000,755000,649000,8.3
SEYMOUR,220000,213000,225000,242500,277000,295000,300000,325000,390000,447500,467500,440000,7.8
SHEPPARTON,247000,243000,250000,265000,261000,275000,282000,310000,370000,430000,445000,480000,6.1
SHEPPARTON NORTH,346000,375000,348000,361000,347000,334000,393000,379000,425000,612000,610000,854500,5.8
SHOREHAM,607000,620000,903000,868500,970000,1160000,1400000,1077000,1767500,2180000,2100000,NA,13.2
SILVERLEAVES,508000,460500,484000,446500,515000,721000,618500,775000,982000,990500,1137500,805000,8.4
SKIPTON,155000,117500,137000,169000,187500,159500,200000,219500,270000,360000,336000,319500,8.0
SKYE,395000,413000,430000,479000,570000,611000,597500,610000,740000,770000,760000,753500,6.8
SMITHS BEACH,372500,390000,455000,470000,458500,589000,624500,695000,837000,990000,957500,780000,9.9
SMYTHES CREEK,-,380000,380000,380000,380000,426500,430000,440500,545000,590000,550000,492500,NA
SOLDIERS HILL,283000,341000,310000,374000,423500,447500,480000,557500,568000,705000,570000,570000,7.3
SOMERS,657500,755000,696500,755500,820000,888500,950000,980000,1707000,1765000,1550000,1132500,9.0
SOMERVILLE,385000,395000,425000,465000,580000,615000,600000,640000,780000,812000,765000,750000,7.1
SORRENTO,770000,795000,859000,1130000,1300000,1380000,1470000,1665000,2207500,2355000,2120000,2700000,10.7
SOUTH GEELONG,420500,470000,425000,495000,650000,676000,702500,835000,1000000,970000,882000,NA,7.7
SOUTH KINGSVILLE,619500,671000,742000,903000,980000,1000000,859000,992000,1100000,972500,1250000,1027500,7.3
SOUTH MELBOURNE,1030000,1200000,1310000,1595000,1532500,1465000,1355000,1580000,1710000,1882500,1630000,1500000,4.7
SOUTH MORANG,415000,420000,450000,502000,610500,634500,625500,623000,718000,760000,725000,760000,5.7
SOUTH YARRA,1352500,1450000,1700000,1890000,2040000,1851000,1850000,2059000,2353000,2035500,2390000,1480000,5.9
SPOTSWOOD,680000,640000,795000,917500,1027500,1080000,950000,985000,1260000,1255000,1130000,1082500,5.2
SPRING GULLY,345000,350000,350000,350000,390000,400000,386500,440000,552500,610000,700000,570000,7.3
SPRINGVALE,451500,530000,629500,685000,750000,780000,746500,785000,855000,886000,870000,790000,6.8
SPRINGVALE SOUTH,430000,475000,562000,630000,720000,720000,679000,725000,800000,820000,800000,830000,6.4
ST ALBANS,350000,373500,428000,500000,610000,626500,594000,600000,675000,682000,640500,630000,6.2
ST ALBANS PARK,335000,330000,329000,331000,379000,450000,422000,455000,600000,650000,586500,505000,5.8
ST ANDREWS BEACH,480000,495000,560000,695000,855000,902500,930000,1207500,1745500,1582500,1572500,3500000,12.6
ST ARNAUD,140000,145000,141000,142500,145000,145000,175000,170000,225000,310000,279500,200000,7.2
ST HELENA,612500,623000,711000,800000,893500,910000,905000,930000,1137500,1202500,1175000,1200000,6.7
ST KILDA,892000,1225000,1164000,1305000,1551000,1755000,1600000,1330000,1705500,1710000,1480500,1090000,5.2
ST KILDA EAST,1050500,1037500,1382500,1677500,1460000,1620000,1560500,1650000,1840000,1785000,1623000,2095000,4.4
ST KILDA WEST,1142500,2235000,2013000,1797000,2380000,1942500,2465000,2630000,3300000,2742500,2855000,1830000,9.6
ST LEONARDS                             ,350000,357000,375000,421500,2380000,571500,562500,572000,705000,805000,754000,700000,8
STANHOPE,150000,131000,152500,147000,181000,161500,187500,201500,255000,223500,352500,NA,8.9
STAWELL,162500,172500,177000,177000,188000,190000,189000,227000,290000,355000,319000,315000,7.0
STRATFORD,230000,261500,260500,272500,265000,258000,316500,320000,397500,472000,480000,420000,7.6
STRATHDALE,392500,380000,410500,445000,380000,420000,451000,507000,640000,671500,637500,540000,5.0
STRATHFIELDSAYE,377000,397500,408000,425000,455000,444000,476500,535000,636000,702500,715000,712500,6.6
STRATHMERTON,166000,172500,190000,182500,140000,187500,195000,205000,265000,325000,365000,367500,8.2
STRATHMORE,827500,865000,997500,1140000,1230000,1357500,1320000,1360000,1576000,1605000,1416500,1264500,5.5
STRATHMORE HEIGHTS,621000,640000,700000,808000,970000,885000,800000,835000,962500,952500,1056000,1147500,5.5
STRATHTULLOH,350000,440000,425000,430000,359000,425000,507500,522500,585500,609000,642500,621000,6.3
STUDFIELD,532500,617500,785000,853000,957500,906000,811000,836000,1025000,950000,1095000,836500,7.5
SUNBURY,355000,360000,370000,395000,492000,546000,533500,570000,645000,670000,660000,640000,6.4
SUNDERLAND BAY,324500,333000,287000,360000,357500,455000,413500,525000,717000,677500,672500,492500,7.6
SUNNYCLIFFS,195000,247500,185000,220000,228000,218000,229500,230000,326500,295000,380000,288500,6.9
SUNSET STRIP,301500,310000,301500,340000,345000,390000,460000,511000,602500,754000,690000,770000,8.6
SUNSHINE,435000,483500,530500,675000,765000,742000,720000,750000,870000,856500,797500,700000,6.2
SUNSHINE NORTH,400000,425500,495000,560000,653000,673500,647000,690000,720000,750000,721500,700000,6.1
SUNSHINE WEST,384500,395000,450000,520000,639000,635000,635000,657000,745000,751500,700000,670000,6.2
SURF BEACH,375000,360000,355000,414000,425000,480000,525000,559000,706500,895000,805000,692500,7.9
SURREY HILLS,1323000,1450000,1750000,1800500,2170000,1900000,1890000,1880000,2310000,2301500,2390000,2385500,6.1
SWAN HILL,225000,230000,248000,262500,252000,267000,285000,319500,362000,405000,435000,522500,6.8
SYDENHAM,425000,415000,440000,505000,590000,620000,595000,635000,690000,699000,741500,745000,5.7
SYNDAL,950500,1160000,1505000,1410000,1585000,1540500,1499000,1570000,1800000,1867500,1955000,1775000,7.5
TALLANGATTA,154000,200000,233000,216000,275000,245000,257500,280000,350000,436000,470000,374500,11.8
TANGAMBALANGA,265000,245000,219500,276000,172500,292000,282500,459000,502500,593000,557500,915000,7.7
TARNEIT,371000,395000,400000,445000,515000,570000,550000,570000,602000,650000,653500,650000,5.8
TATURA,230000,237500,233000,228000,262000,250000,276500,303500,357500,450000,475000,455000,7.5
TAWONGA SOUTH,219500,235000,257500,298000,254000,310000,422500,380000,545000,641000,553000,599000,9.7
TAYLORS HILL,487500,510000,530000,600000,686000,723000,702000,754000,840000,908000,906500,930000,6.4
TAYLORS LAKES,490000,510000,561500,635000,720000,763500,750000,777500,883500,936000,925000,1000000,6.6
TECOMA,415000,478000,510000,601500,709000,700000,662500,742500,920000,837500,838000,822500,7.3
TEMPLESTOWE,865000,951500,1180000,1260000,1415000,1308000,1292500,1381500,1603000,1621500,1685000,1565000,6.9
TEMPLESTOWE LOWER,750000,830000,1060000,1105500,1302000,1150000,1080000,1189000,1432500,1390000,1410000,1374000,6.5
TERANG,161500,195000,206500,150000,188500,194000,188500,232500,309000,365000,382500,237500,9.0
THE BASIN,430000,463500,550000,595000,610000,682500,695000,739000,875000,864000,850000,853500,7.1
THE PATCH,393500,486500,505000,570500,665000,730000,755000,760000,882500,872000,830000,872000,7.8
THOMASTOWN,390000,420000,437000,493000,654000,636000,592000,620000,720000,710000,691000,700000,5.9
THOMSON (GREATER,282000,290000,290000,309000,365000,411000,400500,435000,580000,575000,547500,597500,6.9
THORNBURY,729000,841000,918000,1079500,1230000,1137500,1150000,1252500,1500000,1455000,1382000,1301000,6.6
THORNHILL PARK,-,-,-,441000,447000,578000,535000,540000,550000,600000,610000,602500,NA
TIMBOON,184000,210000,240000,215000,220000,247000,260000,412500,425000,440000,476500,600000,10.0
TONGALA,185000,179000,165000,204000,200000,275000,234500,236500,305000,377000,405500,NA,8.2
TOONGABBIE,234000,261500,235000,315000,286500,280500,270000,320000,445000,525000,569000,NA,9.3
TOORA,171500,155000,230000,195000,190000,241500,275000,300000,430000,430000,450000,NA,10.1
TOORADIN,420000,480000,471000,411000,599000,702000,700000,755000,800000,910000,880000,910000,7.7
TOORAK,2875000,3391000,4000000,4900000,5100000,4700000,4600000,5500000,6340000,6205000,5325000,4125000,6.4
TOOTGAROOK,387000,402500,405000,460000,591000,600500,586000,671000,874000,950000,885000,825000,8.6
TORQUAY,580000,580000,620000,665000,720000,810000,815000,870000,1200000,1350000,1255000,1180000,8.0
TRAFALGAR,283000,311000,310000,312500,333500,375000,396500,435000,485000,590000,560000,595000,7.1
TRARALGON,269000,275000,273000,268000,288500,298000,326500,340000,408000,484000,500000,532500,6.4
TRARALGON EAST,435000,440000,432500,445000,455000,425000,470000,501500,640000,722000,785000,NA,6.1
TRENTHAM,407500,340000,422500,455000,475000,603000,614000,632500,825000,1050000,930000,890000,8.6
TRUGANINA,360000,390000,391000,430000,519500,570000,575000,580000,615000,652000,647000,640000,6.0
TULLAMARINE,395000,412000,472500,530000,655000,665500,612000,640000,755000,760000,720000,700000,6.2
TYABB,370500,366000,395000,430000,510500,548000,586500,590000,736000,745500,730000,NA,7.0
UPPER FERNTREE GULLY,435000,500000,515000,582000,685000,700000,642500,735000,865000,885000,852000,765000,7.0
UPWEY,425000,476000,515000,585000,680000,710000,702500,760500,899000,890000,880000,887000,7.5
VENTNOR,370000,377500,423500,420000,465000,490000,540000,619500,770000,867500,800000,925000,8.0
VENUS BAY,242500,237000,236000,258000,262500,305000,330000,375000,579500,672500,613500,625000,9.7
VERMONT,610000,725000,855000,900000,1065000,980000,935500,1000000,1226500,1200000,1235000,1310000,7.3
VERMONT SOUTH,722500,815000,1000000,1082500,1200500,1150000,1165000,1200000,1420000,1418000,1533000,1280000,7.8
VIEWBANK,630000,725000,829500,920000,1000000,933000,920000,985000,1238000,1220000,1195000,1180500,6.6
VIOLET TOWN,215000,199500,200000,238500,217000,242500,287500,328500,381500,385000,499500,555000,8.8
WAHGUNYAH,190000,213500,267000,290000,270000,240000,355000,320000,379000,517500,375000,520000,7.0
WALLAN,341500,356000,362000,375000,425000,490000,480000,520000,580000,625000,620000,585000,6.1
WALLAN EAST,310000,306500,309500,352500,410000,500000,457000,490000,575000,610000,600000,590000,6.8
WANDANA HEIGHTS,540000,582000,590000,592500,645000,700000,766500,827000,925000,1135000,1015000,795000,6.5
WANDIN NORTH,407500,439500,480000,496500,665000,665000,630000,715000,765000,805000,773000,916500,6.6
WANDONG,397500,332000,297500,400000,492500,494000,452500,640000,700000,719000,762500,700000,6.7
WANGARATTA,240000,255000,272000,270500,270000,320000,319000,356500,425000,530000,525000,519000,8.1
WANTIRNA,576000,667500,764000,801000,953000,906500,850000,907000,1065000,1105000,1150000,1014000,7.2
WANTIRNA SOUTH,579000,676500,829000,875000,1005000,1000000,988500,1015000,1223500,1225000,1322000,1290000,8.6
WARBURTON,310000,315000,325000,366000,418000,495000,512500,543000,675000,733500,695000,505000,8.4
WARRACKNABEAL,107500,110000,110000,123500,113000,112500,118000,141000,180000,228500,240000,247000,8.4
WARRAGUL,315000,320000,342000,340000,365000,449000,460000,498000,580000,653500,646000,630000,7.4
WARRANDYTE,640000,760000,829000,890000,1042500,1110000,994000,996000,1285000,1300000,1262000,1655000,7.0
WARRANWOOD,605500,665000,790000,865000,943500,1010000,935000,962000,1145000,1350000,1197500,1173000,7.1
WARRNAMBOOL,325000,323000,330000,320000,330000,350000,370000,415000,520000,602000,605000,547500,6.4
WATERWAYS,667000,845000,902000,1050000,1127500,1110000,1285000,1408000,1445000,1600000,1690000,NA,9.7
WATSONIA,505000,555000,607500,698000,835000,795000,736000,790000,980000,908500,875500,1095000,5.7
WATSONIA NORTH,510000,572500,635000,702500,790000,770000,726500,795000,962500,897500,930000,895000,6.2
WATTLE GLEN,475000,500500,569000,580000,620000,810000,778500,810000,924000,950000,890000,NA,6.5
WAURN PONDS,446500,470000,480000,501000,530000,621500,641500,671000,727500,801500,826500,800000,6.4
WEDDERBURN,154000,137500,110000,150000,155000,130000,138500,150000,179000,310000,300000,200000,6.9
WEIR VIEWS,327500,388000,389000,418000,440000,470000,465000,495500,525500,575000,560000,570000,5.5
WENDOUREE,243000,247000,250000,252500,267500,326000,335000,370000,465000,495000,470000,417500,6.8
WENDOUREE WEST,190000,165000,207500,185000,200000,245000,259000,300000,380000,390000,365000,325000,6.7
WERRIBEE,309000,315000,335000,403000,470000,510000,500000,515500,570000,612000,610000,586500,7.0
WERRIBEE SOUTH,538000,585000,680000,540000,650000,735000,744500,650000,822500,880000,930000,805000,5.6
WESBURN,312500,288500,395000,455000,455000,463500,530000,532000,665000,661000,642500,630000,7.5
WEST FOOTSCRAY,553000,637500,697000,798000,887500,875000,785000,835000,1051500,960500,915000,755000,5.2
WEST MELBOURNE,905000,916000,1005000,1104500,1350000,1370000,1017500,1215000,1280000,1387500,1215000,1660000,3.0
WEST WODONGA,272500,296000,306000,308500,321000,322000,342500,370000,428000,515000,545000,530000,7.2
WESTALL,511500,550000,610000,695500,780000,800000,748000,739000,855000,897500,858000,921000,5.3
WESTGARTH,920000,1100000,1300000,1500000,1383000,1707500,1485000,1566000,2087500,1912500,1910000,1467500,7.6
WESTMEADOWS,386500,419000,470000,500000,566000,620000,620000,605000,716000,700000,727500,730000,6.5
WHEELERS HILL,740000,805000,999000,1050000,1160000,1118500,1010000,1173500,1371000,1450000,1509000,1584500,7.4
WHITE HILLS,280000,306000,297500,305000,300000,313500,330000,355000,470000,510000,495000,537500,5.9
WHITTINGTON,259000,262000,280000,265000,316500,395000,377500,408000,485000,532500,500000,555000,6.8
WHITTLESEA,375000,375000,400000,448500,469500,577500,581000,610000,675000,740000,760000,667500,7.3
WILLIAMS LANDING,470000,450000,510000,530000,600000,685000,657000,680000,760000,795000,799500,835000,5.5
WILLIAMSTOWN,920000,970000,1120000,1282500,1440000,1415000,1350000,1402500,1592500,1650500,1580000,1782500,5.6
WILLIAMSTOWN NORTH,768000,803500,862500,1135500,1003000,880000,965000,905000,1250000,1021500,1275000,972500,5.2
WILLOW GROVE,235000,172500,135000,195000,230000,280000,388000,427500,427500,452500,600000,500000,9.8
WIMBLEDON HEIGHTS,271500,310000,291500,299000,334000,410000,386500,435000,592000,670000,620000,490000,8.6
WINCHELSEA,287000,287500,262000,267000,357000,391000,430000,480000,552500,640000,642500,700000,8.4
WINDSOR,835000,956500,1094000,1505000,1420000,1422500,1350000,1350000,1645000,1650000,1460000,1455000,5.7
WINTER VALLEY,344500,360000,365000,362500,375000,405000,435000,470000,573500,617500,580000,575000,5.4
WODONGA,282500,295000,295000,315000,341500,350000,331500,348000,439500,520000,545000,485000,6.8
WOLLERT,400000,395000,432000,460000,520000,538000,570000,573000,625000,703500,705000,680000,5.8
WONGA PARK,674500,673500,735000,801000,962500,1150000,1102000,1077500,1248000,1415000,1265000,920000,6.5
WONTHAGGI,225000,251000,262000,265000,284500,339000,375000,405000,550000,602000,555000,513000,9.4
WOODEND,470000,460000,482500,460000,560000,665000,747500,765000,895000,870000,965000,840000,7.5
WOOLAMAI WATERS,349000,381500,340000,375000,418000,469500,495500,560000,762500,874500,779000,710000,8.4
WOORI YALLOCK,330000,317000,358000,391500,480000,520000,510000,552000,635000,670000,652000,560000,7.0
WY YUNG,285000,285000,290000,333500,328000,315000,349000,370000,453000,492500,547500,518500,6.7
WYCHEPROOF,95000,103000,100000,82500,100000,124500,141500,131000,170000,185000,203500,250000,7.9
WYNDHAM VALE,288000,306000,325000,365000,435500,474000,460500,480000,525000,580000,580000,590000,7.3
YACKANDANDAH,327500,318000,300000,392500,445500,472500,497500,490000,669000,653000,760000,580000,8.8
YALLAMBIE,532500,579500,665000,713500,781000,810000,792500,832500,990000,1023000,942000,852500,5.9
YALLOURN NORTH,135000,149500,153000,165500,180000,172000,191000,206000,263000,325000,319500,319500,9.0
YARRA GLEN,420000,460000,530000,540000,620000,670000,670000,732500,850500,800000,784500,675000,6.4
YARRA JUNCTION,406500,357500,417500,422500,537500,562500,582500,595000,687000,710000,705000,NA,5.7
YARRAGON,258000,297000,284000,300000,280000,390000,410000,414000,582500,595000,645000,613500,9.6
YARRAM,190000,202500,245000,230000,225000,218000,240000,260000,360000,470000,395000,425000,7.6
YARRAVILLE,696000,710000,810000,900500,1000000,1045000,971000,1030000,1185000,1210000,1100000,1112500,4.7
YARRAWONGA,302500,297000,300500,320000,324500,345000,375000,456500,564500,670000,640000,637500,7.8
YEA,260000,255000,260000,305000,385000,390000,435500,422500,570000,617500,550000,496000,7.8
YINNAR,220000,240000,182500,230000,270000,245000,255000,292500,465000,550500,567500,NA,9.9
