,2018,2019,2020,2021,2022,2023,2024
CRESWICK,324000,350000,387500,500000,545000,529000,484500
CRIB POINT,555000,527500,578500,740000,785000,755000,510000
CROYDON,792500,735000,787500,920000,900000,916000,895000
CROYDON HILLS,877500,835000,920000,1100000,1107000,1180000,900000
CROYDON NORTH,840000,827500,860500,1050000,1069000,1075000,1180000
CROYDON SOUTH,757500,715500,740000,890000,864000,885500,995000
CURLEWIS,495000,565000,572500,650000,705000,667500,645000
DALLAS,490000,451500,467500,526500,524500,512500,531500
DALYSTON,305000,373000,421000,536000,580000,525000,556500
DANDENONG,640000,601000,630000,700000,740000,687500,710000
DANDENONG NORTH,640000,606500,640000,729000,738500,721000,753000
DANYO,78500,40000,80000,117500,180000,164000,NA
DARLEY,505000,520000,500000,610000,710000,695000,600000
DAYLESFORD,552500,592500,692500,835000,910000,899000,1035000
DEANSIDE,456500,335000,499500,540000,585000,640000,660000
DEEPDENE,2692500,2858000,3150000,3262500,3001000,3050000,NA
DEER PARK,580000,550000,580000,630000,635000,640000,655000
DELACOMBE,360000,390000,410000,525000,570000,527500,545000
DELAHEY,575000,530000,575000,645000,650000,639000,601000
DENNINGTON,355000,360000,395000,485000,616500,581500,467500
DERRIMUT,615000,649000,658000,715000,770000,739000,790500
DIAMOND CREEK,782500,750500,797500,1000000,994500,983500,1020000
DIGGERS REST,500000,515000,560000,614000,657500,657500,647500
DIMBOOLA,130000,120000,154000,200000,247000,281000,440000
DINGLEY VILLAGE,840500,810000,934000,1050000,1112000,1090000,962500
DINNER PLAIN,510000,520000,565000,765000,975000,1200000,855000
DONALD,145000,135500,145000,170000,225000,240000,240000
DONCASTER,1320000,1270000,1280000,1502000,1500000,1550000,1505000
DONCASTER EAST,1222000,1198000,1255000,1500000,1535000,1630000,1581000
DONNYBROOK,530000,540000,620000,600000,665000,650000,660000
DONVALE,1182500,1140000,1195000,1337500,1440000,1438500,1215000
DOREEN,601000,598000,623500,705000,741500,727000,731000
DOVETON,543500,472000,500000,582500,625000,570000,606000
DROMANA,786000,715000,762500,1000000,1100000,1052500,932500
DROUIN,455000,440000,467000,565000,620000,621500,625000
DRYSDALE,522500,575500,590000,682500,747000,726000,627500
DUNOLLY,206500,234500,209500,265000,320000,335000,560000
EAGLE POINT,290000,354000,394500,409500,580000,530000,630000
EAGLEHAWK,315000,321500,360000,440000,510000,485000,545000
EAGLEMONT,1955000,1863000,2029000,2385000,2425000,2528500,1700000
EAST BAIRNSDALE,227000,235000,320000,355000,380000,347500,406000
EAST BENDIGO,318000,390000,389500,465000,570000,551500,580000
EAST GEELONG,637500,632500,815000,920000,846000,835000,910000
EAST MELBOURNE,2675000,3090000,2862500,3300000,3127500,3363000,3625000
EAST WARBURTON,428500,458000,532500,645000,620000,667500,NA
EASTWOOD,385000,410000,417000,535000,590000,599000,570000
ECHUCA,365000,372500,412000,467500,555000,580000,570000
EDENHOPE,147000,169500,143000,206500,225000,266000,NA
EDITHVALE,1047500,950000,1029500,1240000,1362500,1280000,1608000
EILDON,258000,251500,285000,350000,430000,450000,310000
ELLIMINYT,385000,445000,470000,517000,675000,750000,540000
ELMORE,227500,235000,245000,332500,405000,358000,321500
ELSTERNWICK,1970000,1825000,2081000,2175000,2265000,2165000,1467000
ELTHAM,942500,928000,995000,1234500,1255000,1190000,1163500
ELTHAM NORTH,930500,930000,1050000,1237500,1237000,1250000,1234000
ELWOOD,2140000,1950000,2110000,2216500,2605000,2200000,2775000
EMERALD,730000,660000,732500,881000,950000,860000,800000
ENDEAVOUR HILLS,651000,620000,672000,750000,815000,795000,760000
EPPING,600000,546000,577000,654000,677000,668000,650000
EPSOM,357000,371500,431000,530000,600000,582500,585000
ESSENDON,1691000,1450000,1520000,1750000,1841000,1760000,1550000
ESSENDON NORTH,1145000,1100000,1260000,1400000,1510000,1296000,1377500
ESSENDON WEST,1221000,1180000,1275000,1390000,1265500,1165000,1438000
EUMEMMERRING,622000,540000,550000,628000,750500,665000,NA
EUREKA,315500,360000,412500,430000,490000,523000,490000
EUROA,270000,309000,360000,407500,475000,492500,450000
EYNESBURY,550000,558500,600000,676500,710000,652500,657500
FAIRFIELD,1316000,1295000,1395500,1700000,1800000,1585000,1465000
FAWKNER,720000,665000,715000,815000,770000,770000,755000
FERNTREE GULLY,732500,692000,750000,865000,873000,890000,906000
FERNY CREEK,830000,800000,908000,1120000,940000,890000,948000
FINGAL,1350000,1240000,1312500,1807500,1975000,2000000,NA
FITZROY,1450000,1400000,1400000,1520000,1502500,1530000,1267000
FITZROY NORTH,1475000,1385000,1600000,1706000,1632500,1600000,1870000
FIVEWAYS,542500,485000,530000,751500,825000,670000,NA
FLEMINGTON,926500,1000000,1028500,1250000,1103500,1027500,1037500
FLINDERS,1697500,1670000,2085000,2667500,3342000,2125000,1950000
FLORA HILL,352500,370000,395000,481000,550000,520000,530500
FLOWERDALE,390000,287500,400000,475000,530000,595000,601500
FOOTSCRAY,899000,812000,863500,962500,990000,902000,1027500
FOREST HILL,935000,900000,986000,1207500,1155500,1250500,1008000
FOSTER,333500,330000,387500,457500,595000,590000,695000
FRANKSTON,605000,581000,621500,750000,764500,735000,763000
FRANKSTON NORTH,502000,423000,450000,580000,610000,574000,591000
FRANKSTON SOUTH,855000,817500,860000,1150000,1200000,1150000,996000
FRASER RISE,615000,595000,620000,675000,719000,716000,685000
FYANSFORD,650000,660000,800500,845000,1065000,950000,1057500
GARDEN CITY,1507500,1375000,1602500,2074500,1850000,1616000,1630000
GARDENVALE,1830000,1740000,1900000,2120000,2005000,2300000,NA
GARFIELD,540000,518000,590000,715000,789000,820000,540000
GEELONG,757500,720000,883500,950000,900000,982500,800000
GEELONG WEST,713000,675000,749500,882500,997000,910000,745000
GEMBROOK,610000,650000,680000,789500,862500,852500,NA
GISBORNE,770000,730000,810000,898500,1052500,1000000,946000
GLADSTONE PARK,630000,636500,640000,728000,730000,710000,682500
GLEN HUNTLY,1253000,1440000,1342500,2002500,1570000,1735500,1077500
GLEN IRIS,1927500,1967000,2136000,2492500,2500000,2500000,2225000
GLEN WAVERLEY,1300000,1287500,1304000,1558500,1560000,1660000,1675000
GLENGARRY,300000,324000,388000,490000,576500,590000,NA
GLENROWAN,265000,372500,375000,500000,517000,595000,562000
GLENROY,725000,700000,740000,835000,850000,795000,810000
GOLDEN BEACH,225500,220000,270000,325000,355000,395000,395000
GOLDEN POINT (BALLARAT),347500,370000,430000,510000,545000,570000,385000
GOLDEN SQUARE,334000,340000,377500,469500,542500,515000,494000
GORDON,402500,495000,618000,632500,690000,675000,NA
GOUGHS BAY,345500,299500,360000,499500,710000,580000,650000
GOWANBRAE,727500,700500,739000,940000,902500,865000,925000
GRANTVILLE,402500,397500,440000,540000,620000,595000,620000
GREEN LAKE,270000,290000,360000,384500,440000,433000,NA
GREENSBOROUGH,815000,798000,850000,1001000,1000000,970000,966500
GREENVALE,720000,715000,720000,820000,881000,845000,835000
GROVEDALE,495000,505000,550000,655000,700000,660000,627500
HADFIELD,741500,730000,745000,890000,888000,860000,900000
HALLAM,630000,550000,600000,700000,720000,714000,755000
HALLS GAP,355000,320000,350000,465000,570000,555000,630000
HAMILTON,225000,209500,255000,339000,357000,370000,360000
HAMLYN HEIGHTS,545000,540000,563500,708000,769500,740000,650000
HAMPTON,1905000,1900000,2000000,2420000,2341000,2370000,2825000
HAMPTON EAST,1230000,1211500,1290500,1512500,1610000,1475000,1275000
HAMPTON PARK,550000,501500,539000,620000,665000,644500,650000
HARCOURT,375000,420000,527500,604000,705000,697500,NA
HARKNESS,485000,475000,490000,535000,595000,580000,550000
HASTINGS,519500,506000,562000,651000,736500,715000,650000
HASTINGS WEST,480000,430000,487500,590000,660000,605000,580000
HAWTHORN,2506500,2200000,2525000,2900000,2495000,2720000,2120000
HAWTHORN EAST,2221500,2087500,2383000,2300000,2655000,2750000,2000000
HEALESVILLE,601000,580000,602500,750000,810000,810000,770000
HEATHCOTE,310000,335000,365000,390000,480000,485000,448500
HEATHCOTE JUNCTION,594500,600000,738000,885000,905000,815000,NA
HEATHERTON,935000,965000,964000,1140000,1147000,1150000,1075000
HEATHMONT,932000,873000,930000,1094000,1077000,1068000,1080000
HEIDELBERG,1114000,1107500,1283000,1500000,1435000,1437500,1816500
HEIDELBERG HEIGHTS,820000,790000,805000,1000000,1030000,1002000,995000
HEIDELBERG WEST,700000,670000,719500,810000,803500,750000,745000
HEPBURN,425000,452500,535000,695000,675000,737500,745000
HEPBURN SPRINGS,490000,595000,570000,825000,900000,780000,1495000
HERNE HILL,550000,534000,600000,738000,765000,715000,630000
HEYFIELD,193000,195000,230000,330000,370000,390000,385000
HEYWOOD,166000,178000,185000,240000,322500,330000,275000
HIGHETT,1275000,1234000,1325000,1585000,1477500,1455000,1389000
HIGHTON,681000,690000,744000,887000,950000,911000,867500
HILLSIDE (BRIMBANK),645000,525500,545000,620000,655000,548000,NA
HILLSIDE (MELTON),648500,643500,690000,740000,800000,759000,740000
HOPETOUN,86000,66000,150000,157000,189000,171000,155000
HOPPERS CROSSING,552000,526500,550000,585000,620000,615000,596000
HORSHAM,255000,269000,260000,345000,379000,400000,305500
HUGHESDALE,1260000,1150500,1300000,1507500,1500000,1400000,1817500
HUNTINGDALE,1010000,914000,1090000,1299500,1250000,1195000,1150000
HUNTLY,357500,367500,383000,486500,570000,565000,535000
HURSTBRIDGE,731000,700000,775000,900000,950000,896500,NA
INDENTED HEAD,575500,606000,590000,752500,995000,820000,866000
INGLEWOOD,180000,185000,214000,320000,390000,325000,535000
INVERLOCH,598000,590000,665000,891000,992500,950000,966500
INVERMAY PARK,465000,475000,485000,680000,670000,695000,502500
IRONBARK,320000,304000,438500,523000,525000,530000,470000
IRYMPLE,310000,386500,354000,431000,455000,496500,497500
IVANHOE,1600000,1590000,1640000,1900000,1922500,1732500,1692500
IVANHOE EAST,1914000,1775000,2055000,2225000,2262500,2406500,NA
JACANA,555000,512500,555000,626000,642500,586500,573000
JACKASS FLAT,310000,331500,401000,460000,520000,515000,560000
JAMIESON,265000,311500,345000,410000,625000,582500,760000
JAN JUC,905000,870000,964000,1337000,1400000,1290000,1750000
JEERALANG NORTH,170000,235000,240000,283500,415000,366000,340000
JEPARIT,77000,81000,110000,129000,150000,215000,216000
JOLIMONT,3950000,4125000,4575000,5225000,3775000,4533500,NA
JUNCTION VILLAGE,509000,483500,515000,605000,635000,645000,NA
JUNORTOUN,506500,530000,599000,682000,885000,865000,635000
KALIMNA,326500,292500,350000,467000,510000,462500,675000
KALKALLO,548000,535000,555000,606000,645000,640000,617500
KALLISTA,737500,700000,715000,910000,1000000,832500,NA
KALORAMA,686500,645000,697500,822500,1022500,885000,745000
KANGAROO FLAT,325000,340000,380000,465000,535000,500000,555000
KANGAROO GROUND SOUTH,930000,815500,970000,1217000,1130000,1100000,NA
KANIVA,164000,169500,115000,174000,205000,200000,120000
KATUNGA,180000,330000,225000,200000,327500,290000,NA
KEALBA,612000,596000,600000,660000,705000,670000,665000
KEILOR,817000,836500,885000,1070500,1000000,1132500,1202500
KEILOR DOWNS,661000,630000,660000,767500,760500,770000,675000
KEILOR EAST,830000,835000,842000,1000000,1000000,980000,900000
KEILOR LODGE,715000,740000,757500,865000,880000,920000,861000
KEILOR PARK,770000,704000,735000,820500,892500,795000,739000
KENNINGTON,383500,374000,428500,550000,593000,610000,532500
KENSINGTON,1020000,978000,1106500,1165000,1200000,1040000,950000
KERANG,177000,170000,200000,239000,275500,280000,265000
KEW,2380000,2310000,2251500,2780000,2920000,2905000,1605000
