Suburb,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Prelim 2025,Change 23-24,Change 14-24,PA 14-24,PA 2014-24,PA 2015-24,PA 2016-24,PA 2017-24,PA 2018-24,PA 2019-24,PA 2020-24,PA 2021-24,PA 2022-24,PA 2023-24
KILSYTH SOUTH,575000.0,676000.0,738000.0,845000.0,826000.0,780500.0,870000.0,977500.0,1080000.0,1045000.0,1105000.0,^ 1146000,6.0,92.0,6.8,6.8,5.6,5.2,3.9,5.0,7.2,6.2,4.2,1.2,5.7
KINGS PARK,325000.0,355000.0,415000.0,532500.0,550000.0,510000.0,550000.0,600000.0,630000.0,599500.0,615500.0,620000,3.0,89.0,6.6,6.6,6.3,5.1,2.1,1.9,3.8,2.9,0.9,-1.2,2.7
KINGSBURY,502500.0,560000.0,610000.0,731000.0,730000.0,660000.0,732500.0,848500.0,782000.0,792500.0,862500.0,^ 759500,9.0,72.0,5.6,5.6,4.9,4.4,2.4,2.8,5.5,4.2,0.5,5.0,8.8
KINGSVILLE,703500.0,785000.0,925000.0,1020000.0,990000.0,1010000.0,970000.0,1225000.0,1287500.0,1200000.0,1122500.0,^ 1000000,-6.0,60.0,4.8,4.8,4.1,2.4,1.4,2.1,2.1,3.7,-2.9,-6.6,-6.5
KNOXFIELD,580000.0,681000.0,741000.0,870000.0,815000.0,760000.0,810000.0,980000.0,965000.0,950000.0,931000.0,^ 1035000,-2.0,60.0,4.8,4.8,3.5,2.9,1.0,2.2,4.1,3.5,-1.7,-1.8,-2.0
LAVERTON,358000.0,377500.0,429000.0,535000.0,579000.0,529000.0,560000.0,605000.0,610000.0,582500.0,590000.0,600000,1.0,65.0,5.1,5.1,5.1,4.1,1.4,0.3,2.2,1.3,-0.8,-1.7,1.3
LILYDALE,482500.0,534000.0,633500.0,710500.0,705000.0,675500.0,709000.0,840000.0,860000.0,925000.0,865000.0,822000,-6.0,79.0,6.0,6.0,5.5,4.0,2.9,3.5,5.1,5.1,1.0,0.3,-6.5
LOWER PLENTY,675000.0,770000.0,900000.0,980000.0,1055000.0,950000.0,909500.0,1220000.0,1350000.0,1344500.0,1340000.0,^ 1518000,0.0,99.0,7.1,7.1,6.3,5.1,4.6,4.1,7.1,10.2,3.2,-0.4,-0.3
LYNDHURST,482500.0,550000.0,585000.0,625000.0,695000.0,665500.0,701500.0,815500.0,950000.0,905000.0,900500.0,935000,-1.0,86.0,6.4,6.4,5.6,5.5,5.4,4.4,6.2,6.4,3.4,-2.6,-0.5
LYSTERFIELD,670000.0,780000.0,857500.0,995500.0,976500.0,956500.0,1009500.0,1132000.0,1267500.0,1307500.0,1331000.0,^ 1050000,2.0,99.0,7.1,7.1,6.1,5.6,4.2,5.3,6.8,7.2,5.5,2.5,1.8
MACLEOD,705000.0,755000.0,868000.0,950000.0,922500.0,922500.0,972500.0,1156500.0,1135000.0,1150000.0,1196500.0,^ 1200000,4.0,70.0,5.4,5.4,5.2,4.1,3.4,4.4,5.3,5.3,1.1,2.7,4.0
MAIDSTONE,587500.0,630000.0,695000.0,825000.0,793500.0,779000.0,789500.0,852500.0,886500.0,890000.0,850500.0,760000,-4.0,45.0,3.8,3.8,3.4,2.6,0.4,1.2,1.8,1.9,-0.1,-2.1,-4.4
MALVERN,1946000.0,2230000.0,2332000.0,2750000.0,2661000.0,2570000.0,2865000.0,3001000.0,2935000.0,3020000.0,3306000.0,^ 2957500,9.0,70.0,5.4,5.4,4.5,4.5,2.7,3.7,5.2,3.6,3.3,6.1,9.5
MALVERN EAST,1380000.0,1610000.0,1729000.0,1824000.0,1900000.0,1789000.0,1895000.0,2112500.0,2282500.0,2192500.0,2057500.0,1680000,-6.0,49.0,4.1,4.1,2.8,2.2,1.7,1.3,2.8,2.1,-0.9,-5.1,-6.2
MAMBOURIN,,,,,,,,605000.0,641000.0,632500.0,631000.0,604500,0.0,,,,,,,,,,1.4,-0.8,-0.2
MANOR LAKES,360000.0,385000.0,417500.0,490000.0,526000.0,533000.0,570000.0,595500.0,645000.0,640000.0,640000.0,641500,0.0,78.0,5.9,5.9,5.8,5.5,3.9,3.3,3.7,2.9,2.4,-0.4,0.0
MARIBYRNONG,750500.0,837500.0,940000.0,1056000.0,1050000.0,961500.0,936500.0,1165000.0,1170000.0,1110000.0,1250000.0,956000,13.0,67.0,5.2,5.2,4.6,3.6,2.4,2.9,5.4,7.5,2.4,3.4,12.6
MCKINNON,1220000.0,1500000.0,1657500.0,1720000.0,1555000.0,1520500.0,1675000.0,2010000.0,1994000.0,2000000.0,1830000.0,^ 2050000,-9.0,50.0,4.1,4.1,2.2,1.2,0.9,2.8,3.8,2.2,-3.1,-4.2,-8.5
MENTONE,810000.0,950000.0,982500.0,1097500.0,1080000.0,1031000.0,1050000.0,1370000.0,1475000.0,1332500.0,1320000.0,1242000,-1.0,63.0,5.0,5.0,3.7,3.8,2.7,3.4,5.1,5.9,-1.2,-5.4,-0.9
MIDDLE PARK,2125000.0,2317000.0,2238500.0,2390000.0,2685000.0,2775000.0,2680000.0,2864000.0,2750000.0,2485000.0,2563500.0,^ 5700000,3.0,21.0,1.9,1.9,1.1,1.7,1.0,-0.8,-1.6,-1.1,-3.6,-3.5,3.2
MITCHAM,730000.0,885500.0,941000.0,,998000.0,942000.0,1066500.0,1212500.0,1200000.0,1210000.0,1180000.0,,-2.0,62.0,4.9,4.9,3.2,2.9,,2.8,4.6,2.6,-0.9,-0.8,-2.5
MONT ALBERT,1490000.0,1863000.0,1921000.0,,1990000.0,1690000.0,2170000.0,2372500.0,2320000.0,2499000.0,2428000.0,,-3.0,63.0,5.0,5.0,3.0,3.0,,3.4,7.5,2.8,0.8,2.3,-2.8
MONT ALBERT NORTH,1100000.0,1400000.0,1490000.0,,1460000.0,1380000.0,1437000.0,1600000.0,1626000.0,1709000.0,1572500.0,,-8.0,43.0,3.6,3.6,1.3,0.7,,1.2,2.6,2.3,-0.6,-1.7,-8.0
MONTMORENCY,614000.0,732000.0,780500.0,,926000.0,860000.0,913000.0,1162000.0,1110000.0,1120000.0,1150000.0,,3.0,87.0,6.5,6.5,5.1,5.0,,3.7,6.0,5.9,-0.3,1.8,2.7
MONTROSE,476500.0,559000.0,625000.0,,737500.0,707500.0,730000.0,842500.0,913500.0,846000.0,883500.0,,4.0,86.0,6.4,6.4,5.2,4.4,,3.1,4.5,4.9,1.6,-1.7,4.4
MOONEE PONDS,920000.0,1006000.0,1110500.0,,1360000.0,1300000.0,1290000.0,1550000.0,1582500.0,1542500.0,1512500.0,,-2.0,64.0,5.1,5.1,4.6,3.9,,1.8,3.1,4.1,-0.8,-2.2,-1.9
MOORABBIN,768000.0,855000.0,980000.0,,1130000.0,1065000.0,1075000.0,1400000.0,1392500.0,1300000.0,1286500.0,,-1.0,67.0,5.3,5.3,4.6,3.5,,2.2,3.9,4.6,-2.8,-3.9,-1.0
MOOROOLBARK,465000.0,558500.0,620000.0,,720000.0,670000.0,720000.0,835000.0,867000.0,820000.0,857500.0,,5.0,84.0,6.3,6.3,4.9,4.1,,3.0,5.1,4.5,0.9,-0.5,4.6
MORDIALLOC,755000.0,850000.0,933000.0,,1046500.0,1017500.0,1089000.0,1375000.0,1296500.0,1400000.0,1392500.0,,-1.0,84.0,6.3,6.3,5.6,5.1,,4.9,6.5,6.3,0.4,3.6,-0.5
MOUNT EVELYN,428500.0,493500.0,551000.0,,671500.0,636000.0,710000.0,820000.0,877500.0,830000.0,825000.0,,-1.0,93.0,6.8,6.8,5.9,5.2,,3.5,5.3,3.8,0.2,-3.0,-0.6
MOUNT WAVERLEY,950000.0,1267500.0,1265000.0,,1320000.0,1270500.0,1300000.0,1511500.0,1510000.0,1600000.0,1615000.0,,1.0,70.0,5.4,5.4,2.7,3.1,,3.4,4.9,5.6,2.2,3.4,0.9
MULGRAVE,,,,,,,,,,,,,,,5.4,,,,,,,,,,
MURRUMBEENA,982500.0,1204000.0,1286000.0,1420000.0,1343500.0,1241500.0,1405000.0,1695000.0,1670000.0,1650000.0,1706000.0,^ 1375500,3.0,74.0,5.7,5.7,3.9,3.6,2.7,4.1,6.6,5.0,0.2,1.1,3.4
NEWPORT,740000.0,825000.0,950000.0,1080000.0,1059000.0,1055000.0,1090000.0,1286500.0,1280000.0,1275000.0,1300000.0,^ 1050000,2.0,76.0,5.8,5.8,5.2,4.0,2.7,3.5,4.3,4.5,0.3,0.8,2.0
NIDDRIE,747500.0,832500.0,910000.0,1100000.0,1070000.0,1070000.0,1000500.0,1246000.0,1305000.0,1190000.0,1210000.0,^ 821000,2.0,62.0,4.9,4.9,4.2,3.6,1.4,2.1,2.5,4.9,-1.0,-3.7,1.7
NOBLE PARK,440000.0,510000.0,600000.0,680000.0,680000.0,625500.0,675000.0,751000.0,753500.0,732000.0,778500.0,728000,6.0,77.0,5.9,5.9,4.8,3.3,2.0,2.3,4.5,3.6,1.2,1.6,6.4
NOBLE PARK NORTH,420000.0,491500.0,563000.0,640000.0,660000.0,610000.0,655500.0,750000.0,795000.0,737500.0,772500.0,752500,5.0,84.0,6.3,6.3,5.2,4.0,2.7,2.7,4.8,4.2,1.0,-1.4,4.7
NORTH MELBOURNE,832000.0,943000.0,1200000.0,1380000.0,1185000.0,1375000.0,1151500.0,1335000.0,1381000.0,1220000.0,1311000.0,1260000,7.0,58.0,4.7,4.7,3.7,1.1,-0.7,1.7,-0.9,3.3,-0.6,-2.6,7.5
NORTHCOTE,931500.0,1008500.0,1190000.0,1325000.0,1345000.0,1305000.0,1411000.0,1651000.0,1653000.0,1610000.0,1600000.0,1450000,-1.0,72.0,5.6,5.6,5.3,3.8,2.7,2.9,4.2,3.2,-1.0,-1.6,-0.6
NOTTING HILL,660000.0,780000.0,872500.0,993000.0,957500.0,880000.0,930000.0,1141000.0,1058000.0,1106000.0,1196000.0,^ 1682000,8.0,81.0,6.1,6.1,4.9,4.0,2.7,3.8,6.3,6.5,1.6,6.3,8.1
NUNAWADING,721500.0,880000.0,970000.0,1090000.0,986000.0,951000.0,1038500.0,1250000.0,1146000.0,1189000.0,1152500.0,^ 1750000,-3.0,60.0,4.8,4.8,3.0,2.2,0.8,2.6,3.9,2.6,-2.7,0.3,-3.1
OAK PARK,626000.0,660000.0,822500.0,853500.0,878500.0,840000.0,911500.0,1150000.0,1140000.0,1085000.0,1122500.0,^ 1235000,3.0,79.0,6.0,6.0,6.1,4.0,4.0,4.2,6.0,5.3,-0.8,-0.8,3.5
OAKLEIGH,801500.0,1002000.0,1050000.0,1210000.0,1250000.0,1101000.0,1255000.0,1388000.0,1421000.0,1336500.0,1311000.0,^ 1200000,-2.0,64.0,5.0,5.0,3.0,2.8,1.2,0.8,3.6,1.1,-1.9,-3.9,-1.9
OAKLEIGH EAST,820000.0,990000.0,983000.0,1195000.0,992500.0,954500.0,995000.0,1187500.0,1155000.0,1150000.0,1165000.0,^ 1235000,1.0,42.0,3.6,3.6,1.8,2.1,-0.4,2.7,4.1,4.0,-0.6,0.4,1.3
OAKLEIGH SOUTH,700000.0,830000.0,890000.0,1030000.0,960000.0,906500.0,983500.0,1129000.0,1053500.0,1130000.0,1195000.0,^ 1119000,6.0,71.0,5.5,5.5,4.1,3.8,2.1,3.7,5.7,5.0,1.9,6.5,5.8
ORMOND,1187500.0,1300000.0,1550000.0,1604500.0,1600000.0,1475000.0,1590000.0,1850000.0,1845000.0,1805000.0,1855500.0,^ 1570000,3.0,56.0,4.6,4.6,4.0,2.3,2.1,2.5,4.7,3.9,0.1,0.3,2.8
PARK ORCHARDS,1103000.0,1225000.0,1335000.0,1450000.0,1480000.0,1510000.0,1530000.0,1920000.0,1965000.0,1740000.0,1936000.0,,11.0,76.0,5.8,5.8,5.2,4.8,4.2,4.6,5.1,6.1,0.3,-0.7,11.3
PARKDALE,860000.0,965000.0,1100000.0,1300000.0,1245000.0,1157500.0,1200500.0,1540500.0,1600000.0,1374000.0,1480000.0,^ 1125000,8.0,72.0,5.6,5.6,4.9,3.8,1.9,2.9,5.0,5.4,-1.3,-3.8,7.7
PARKVILLE,1525000.0,1360500.0,2130000.0,2287500.0,2430000.0,1480000.0,,2301500.0,1910000.0,2488500.0,1745000.0,^ 1265000,-30.0,14.0,1.4,1.4,2.8,-2.5,-3.8,-5.4,3.3,,-8.8,-4.4,-29.9
PASCOE VALE,655000.0,720000.0,805000.0,891000.0,901000.0,855000.0,947500.0,1050000.0,1110000.0,1025000.0,1047500.0,1100000,2.0,60.0,4.8,4.8,4.3,3.3,2.3,2.5,4.1,2.5,-0.1,-2.9,2.2
PASCOE VALE SOUTH,701000.0,745000.0,840000.0,975000.0,955000.0,950000.0,1006000.0,1299500.0,1157500.0,1130000.0,1222500.0,1200000,8.0,74.0,5.7,5.7,5.7,4.8,3.3,4.2,5.2,5.0,-2.0,2.8,8.2
PATTERSON LAKES,734000.0,785000.0,807500.0,1021500.0,1022500.0,923000.0,1082500.0,1300000.0,1470500.0,1387500.0,1385000.0,^ 855000,0.0,89.0,6.6,6.6,6.5,7.0,4.4,5.2,8.5,6.4,2.1,-3.0,-0.2
POINT COOK,445000.0,465000.0,505000.0,590000.0,630000.0,635000.0,664000.0,738000.0,780000.0,770000.0,780000.0,787500,1.0,75.0,5.8,5.8,5.9,5.6,4.1,3.6,4.2,4.1,1.9,0.0,1.3
PORT MELBOURNE,917500.0,1252500.0,1380000.0,1485000.0,1488000.0,1400000.0,1600000.0,1802500.0,1646000.0,1755000.0,1600000.0,^ 1526000,-9.0,74.0,5.7,5.7,2.8,1.9,1.1,1.2,2.7,0.0,-3.9,-1.4,-8.8
PRAHRAN,1175000.0,1350000.0,1430000.0,1525000.0,1578000.0,1520000.0,1643500.0,1855000.0,1820000.0,1760000.0,1590000.0,1535000,-10.0,35.0,3.1,3.1,1.8,1.3,0.6,0.1,0.9,-0.8,-5.0,-6.5,-9.7
PRESTON,690000.0,791000.0,882000.0,996000.0,980000.0,940000.0,1026000.0,1250000.0,1136000.0,1145000.0,1185000.0,1099500,3.0,72.0,5.6,5.6,4.6,3.8,2.5,3.2,4.7,3.7,-1.8,2.1,3.5
PRINCES HILL,1210000.0,1280000.0,1555000.0,1767500.0,1650000.0,2035000.0,1600000.0,2015000.0,1892500.0,1665000.0,1722500.0,^ 1225000,3.0,42.0,3.6,3.6,3.4,1.3,-0.4,0.7,-3.3,1.9,-5.1,-4.6,3.5
RESERVOIR,541000.0,615000.0,707500.0,812500.0,790000.0,754000.0,795000.0,945000.0,940000.0,870000.0,905000.0,920000,4.0,67.0,5.3,5.3,4.4,3.1,1.6,2.3,3.7,3.3,-1.4,-1.9,4.0
RICHMOND,961000.0,1150000.0,1265000.0,1304000.0,1311000.0,1260000.0,1365000.0,1490000.0,1422500.0,1400000.0,1395000.0,1322500,0.0,45.0,3.8,3.8,2.2,1.2,1.0,1.0,2.1,0.5,-2.2,-1.0,-0.4
RINGWOOD,660000.0,777500.0,837500.0,910500.0,896500.0,801000.0,900000.0,1018000.0,1038000.0,999500.0,1025000.0,1287500,3.0,55.0,4.5,4.5,3.1,2.6,1.7,2.3,5.1,3.3,0.2,-0.6,2.6
RINGWOOD EAST,612000.0,750000.0,806000.0,901000.0,881000.0,809000.0,861000.0,1050000.0,975000.0,1000000.0,1065000.0,^ 1003000,7.0,74.0,5.7,5.7,4.0,3.5,2.4,3.2,5.7,5.5,0.5,4.5,6.5
RINGWOOD NORTH,662000.0,783500.0,844000.0,960500.0,920000.0,870000.0,957500.0,1183000.0,1200000.0,1217500.0,1207500.0,965000,-1.0,82.0,6.2,6.2,4.9,4.6,3.3,4.6,6.8,6.0,0.7,0.3,-0.8
RIPPONLEA,1000000.0,1360000.0,1700000.0,1787500.0,,1350000.0,,1892500.0,1560000.0,,1805000.0,,24.0,81.0,6.1,6.1,3.2,0.8,0.1,,6.0,,-1.6,7.6,
ROSANNA,781500.0,905000.0,980000.0,1175000.0,1100000.0,1032500.0,1121500.0,1382500.0,1216000.0,1294000.0,1380000.0,^ 1325000,7.0,77.0,5.9,5.9,4.8,4.4,2.3,3.9,6.0,5.3,-0.1,6.5,6.6
ROWVILLE,617500.0,710000.0,778000.0,867000.0,838000.0,815500.0,838000.0,1000000.0,1080000.0,1090000.0,1055000.0,1060000,-3.0,71.0,5.5,5.5,4.5,3.9,2.8,3.9,5.3,5.9,1.8,-1.2,-3.2
SANDRINGHAM,1305000.0,1490000.0,1760000.0,1862500.0,1850000.0,1665000.0,1850000.0,2410000.0,2400000.0,2100000.0,2082500.0,^ 1905000,-1.0,60.0,4.8,4.8,3.8,2.1,1.6,2.0,4.6,3.0,-4.8,-6.8,-0.8
SASSAFRAS,556000.0,562000.0,653500.0,775500.0,750000.0,805000.0,770000.0,860000.0,1020000.0,959000.0,940000.0,^ 905000,-2.0,69.0,5.4,5.4,5.9,4.6,2.8,3.8,3.1,5.1,3.0,-4.0,-2.0
SCORESBY,570000.0,661000.0,700000.0,878500.0,835000.0,766500.0,785000.0,950000.0,970500.0,955500.0,970000.0,^ 855000,2.0,70.0,5.5,5.5,4.4,4.2,1.4,2.5,4.8,5.4,0.7,-0.0,1.5
SEABROOK,402500.0,456000.0,509000.0,635000.0,672500.0,626500.0,652500.0,730000.0,755000.0,741500.0,764500.0,800000,3.0,90.0,6.6,6.6,5.9,5.2,2.7,2.2,4.1,4.0,1.6,0.6,3.1
SEAHOLME,670000.0,802500.0,870000.0,1157500.0,1015000.0,1020000.0,937500.0,1209500.0,1135000.0,1439500.0,1300000.0,^ 1035000,-10.0,94.0,6.9,6.9,5.5,5.1,1.7,4.2,5.0,8.5,2.4,7.0,-9.7
SEDDON,730000.0,830000.0,934500.0,982500.0,1018500.0,960000.0,1100000.0,1237500.0,1055000.0,1100000.0,1100000.0,^ 930000,0.0,51.0,4.2,4.2,3.2,2.1,1.6,1.3,2.8,0.0,-3.9,2.1,0.0
SELBY,420000.0,469500.0,527500.0,600000.0,637500.0,601500.0,720000.0,904500.0,771500.0,837500.0,850000.0,^ 813000,1.0,102.0,7.3,7.3,6.8,6.1,5.1,4.9,7.2,4.2,-2.1,5.0,1.5
SOUTH KINGSVILLE,671000.0,742000.0,903000.0,980000.0,1000000.0,859000.0,992000.0,1125000.0,1000000.0,1240000.0,1065000.0,,-14.0,59.0,4.7,4.7,4.1,2.1,1.2,1.1,4.4,1.8,-1.8,3.2,-14.1
SOUTH MELBOURNE,1200000.0,1310000.0,1595000.0,1532500.0,1465000.0,1355000.0,1580000.0,1710000.0,1882500.0,1640000.0,1532500.0,^ 1700000,-7.0,28.0,2.5,2.5,1.8,-0.5,0.0,0.8,2.5,-0.8,-3.6,-9.8,-6.6
SOUTH YARRA,1450000.0,1700000.0,1890000.0,2040000.0,1851000.0,1850000.0,2059000.0,2306000.0,2070000.0,2400000.0,2260000.0,^ 1472500,-6.0,56.0,4.5,4.5,3.2,2.3,1.5,3.4,4.1,2.4,-0.7,4.5,-5.8
SPOTSWOOD,640000.0,795000.0,917500.0,1027500.0,1080000.0,950000.0,985000.0,1260000.0,1255000.0,1105000.0,1125000.0,^ 1415000,2.0,76.0,5.8,5.8,3.9,2.6,1.3,0.7,3.4,3.4,-3.7,-5.3,1.8
SPRINGVALE,530000.0,629500.0,685000.0,750000.0,780000.0,746500.0,785000.0,855000.0,886500.0,870000.0,850000.0,833000,-2.0,60.0,4.8,4.8,3.4,2.7,1.8,1.4,2.6,2.0,-0.2,-2.1,-2.3
