Suburb,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Prelim 2025,Change 23-24,Change 14-24,PA 14-24,PA 2014-24,PA 2015-24,PA 2016-24,PA 2017-24,PA 2018-24,PA 2019-24,PA 2020-24,PA 2021-24,PA 2022-24,PA 2023-24
HAWTHORN,1606500.0,1916500.0,2245000.0,2650000.0,2506500.0,2200000.0,2525000.0,2900000.0,2500000.0,2910000.0,2900000.0,^ 5087500,0.0,81.0,6.1,6.1,4.7,3.3,1.3,2.5,5.7,3.5,0.0,7.7,-0.3
HAWTHORN EAST,1554000.0,1850000.0,1890000.0,2350000.0,2221500.0,2087500.0,2383000.0,2280000.0,2655000.0,2770000.0,2585000.0,^ 1955500,-7.0,66.0,5.2,5.2,3.8,4.0,1.4,2.6,4.4,2.1,4.3,-1.3,-6.7
HEATHERTON,712000.0,771000.0,845000.0,981000.0,935000.0,965000.0,964000.0,1140000.0,1147000.0,1150000.0,1100000.0,^ 1000000,-4.0,55.0,4.4,4.4,4.0,3.4,1.6,2.7,2.7,3.4,-1.2,-2.1,-4.3
HEATHMONT,638000.0,760000.0,789000.0,925000.0,932000.0,873000.0,930000.0,1094000.0,1077000.0,1068000.0,1035000.0,^ 1080000,-3.0,62.0,5.0,5.0,3.5,3.5,1.6,1.8,3.5,2.7,-1.8,-2.0,-3.1
HEIDELBERG,831000.0,1060000.0,1150000.0,1280000.0,1114000.0,1107500.0,1283000.0,1500000.0,1435000.0,1437500.0,1374000.0,^ 997500,-4.0,65.0,5.2,5.2,2.9,2.2,1.0,3.6,4.4,1.7,-2.9,-2.1,-4.4
HEIDELBERG HEIGHTS,554000.0,675500.0,750000.0,843000.0,820000.0,790000.0,805000.0,1000000.0,1030000.0,1000000.0,960000.0,^ 865000,-4.0,73.0,5.6,5.7,4.0,3.1,1.9,2.7,4.0,4.5,-1.4,-3.5,-4.0
HEIDELBERG WEST,461000.0,580000.0,630000.0,730000.0,700000.0,670000.0,719000.0,810000.0,803500.0,751000.0,797000.0,^ 801000,6.0,73.0,5.6,5.6,3.6,3.0,1.3,2.2,3.5,2.6,-0.5,-0.4,6.1
HIGHETT,850000.0,992500.0,1175000.0,1318500.0,1275000.0,1234000.0,1325000.0,1585000.0,1477500.0,1455000.0,1456000.0,^ 1400000,0.0,71.0,5.5,5.5,4.3,2.7,1.4,2.2,3.4,2.4,-2.8,-0.7,0.1
HOPPERS CROSSING,340000.0,365500.0,415000.0,,552000.0,526500.0,550000.0,585000.0,620000.0,615000.0,620000.0,,1.0,82.0,6.2,6.2,6.0,5.1,,2.0,3.3,3.0,2.0,0.0,0.8
HUGHESDALE,856000.0,1165000.0,1222500.0,,1260000.0,1150500.0,1300000.0,1507500.0,1500000.0,1422000.0,1421000.0,,0.0,66.0,5.2,5.2,2.2,1.9,,2.0,4.3,2.2,-2.0,-2.7,-0.1
HUNTINGDALE,728000.0,835000.0,924500.0,,1010000.0,914000.0,1090000.0,1299500.0,1250000.0,1195000.0,1200000.0,,0.0,65.0,5.1,5.1,4.1,3.3,,2.9,5.6,2.4,-2.6,-2.0,0.4
IVANHOE,1203000.0,1120000.0,1400000.0,,1600000.0,1590000.0,1640000.0,1900000.0,1935000.0,1745000.0,1850000.0,,6.0,54.0,4.4,4.4,5.7,3.5,,2.4,3.1,3.1,-0.9,-2.2,6.0
IVANHOE EAST,1513000.0,1535000.0,1764500.0,,1914000.0,1775000.0,2055000.0,2225000.0,2262500.0,2286500.0,2512500.0,,10.0,66.0,5.2,5.2,5.6,4.5,,4.6,7.2,5.2,4.1,5.4,9.9
KEALBA,390000.0,400000.0,470000.0,,612000.0,596000.0,600000.0,660000.0,705000.0,670000.0,700000.0,,4.0,79.0,6.0,6.0,6.4,5.1,,2.3,3.3,3.9,2.0,-0.4,4.5
KEILOR,633000.0,703000.0,805000.0,845000.0,817000.0,836500.0,885000.0,1070500.0,1000000.0,1132500.0,1110000.0,^ 1450000,-2.0,75.0,5.8,5.8,5.2,4.1,4.0,5.2,5.8,5.8,1.2,5.4,-2.0
KEILOR DOWNS,429000.0,496500.0,562000.0,670000.0,661000.0,630000.0,660000.0,765000.0,759000.0,770000.0,766500.0,^ 748000,0.0,79.0,6.0,6.0,4.9,4.0,1.9,2.5,4.0,3.8,0.1,0.5,-0.5
KEILOR EAST,599000.0,651000.0,720000.0,843000.0,830000.0,835000.0,842000.0,1000000.0,1000000.0,990000.0,1055000.0,890000,7.0,76.0,5.8,5.8,5.5,4.9,3.3,4.1,4.8,5.8,1.8,2.7,6.6
KEILOR LODGE,500000.0,555500.0,607500.0,760000.0,,740000.0,,,880000.0,920000.0,1014500.0,^ 935000,10.0,103.0,7.3,7.3,6.9,6.6,4.2,,6.5,,,7.4,10.3
KEILOR PARK,512500.0,565000.0,650000.0,741000.0,770000.0,704000.0,735000.0,820500.0,892500.0,795000.0,840000.0,^ 760000,6.0,64.0,5.1,5.1,4.5,3.3,1.8,1.5,3.6,3.4,0.8,-3.0,5.7
KENSINGTON,737500.0,823500.0,908000.0,1019000.0,1020000.0,978000.0,1106500.0,1165000.0,1200000.0,1045000.0,1097000.0,1026000,5.0,49.0,4.0,4.1,3.2,2.4,1.1,1.2,2.3,-0.2,-2.0,-4.4,5.0
KEW,1950000.0,2080000.0,2207500.0,2317500.0,2380000.0,2310000.0,2251500.0,2780000.0,2950000.0,2910000.0,2805000.0,2325000,-4.0,44.0,3.7,3.7,3.4,3.0,2.8,2.8,4.0,5.6,0.3,-2.5,-3.6
KEW EAST,1314000.0,1600000.0,1655000.0,1876000.0,1800000.0,1837000.0,,1990000.0,2040000.0,2200000.0,,,1.0,70.0,5.4,,,,,,,,,,
KEYSBOROUGH,456500.0,559500.0,650000.0,730000.0,745000.0,735000.0,750000.0,849000.0,891000.0,914000.0,931000.0,870000,2.0,104.0,7.4,7.4,5.8,4.6,3.5,3.8,4.8,5.6,3.1,2.2,1.9
KILSYTH,460000.0,548500.0,620000.0,698500.0,685500.0,645000.0,677500.0,781000.0,841500.0,810000.0,815000.0,771000,1.0,77.0,5.9,5.9,4.5,3.5,2.2,2.9,4.8,4.7,1.4,-1.6,0.6
